calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url,ingredients,ingredients_normalized,ingredients_canonical
459.0,64.0,Desserts,22.0,"{'@type': 'NutritionInformation', 'calories': ' 459 calories', 'fatContent': '22g fat (9g saturated fat)', 'cholesterolContent': '19mg cholesterol', 'sodiumContent': '174mg sodium', 'carbohydrateContent': '64g carbohydrate (26g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '5g protein. '}",5.0,5.0,4.0,taste_of_home,Frozen Banana Split Pie,https://www.tasteofhome.com/recipes/frozen-banana-split-pie/,,,
312.0,44.0,Desserts,14.0,"{'@type': 'NutritionInformation', 'calories': ' 312 calories', 'fatContent': '14g fat (5g saturated fat)', 'cholesterolContent': '19mg cholesterol', 'sodiumContent': '215mg sodium', 'carbohydrateContent': '44g carbohydrate (31g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '4g protein. '}",4.0,5.0,1.0,taste_of_home,Berry Brownie Pizza,https://www.tasteofhome.com/recipes/berry-brownie-pizza/,,,
504.0,50.0,Desserts,33.0,"{'@type': 'NutritionInformation', 'calories': ' 504 calories', 'fatContent': '33g fat (20g saturated fat)', 'cholesterolContent': '280mg cholesterol', 'sodiumContent': '114mg sodium', 'carbohydrateContent': '50g carbohydrate (33g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,5.0,1.0,taste_of_home,Caramel Apple Creme Brulee,https://www.tasteofhome.com/recipes/caramel-apple-creme-brulee/,,,
106.0,24.0,Desserts,1.0,"{'@type': 'NutritionInformation', 'calories': ' 106 calories', 'fatContent': '1g fat (1g saturated fat)', 'cholesterolContent': '1mg cholesterol', 'sodiumContent': '57mg sodium', 'carbohydrateContent': '24g carbohydrate (14g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '2g protein. <B><b>Diabetic Exchanges</b>: </B> 1 starch'}",2.0,5.0,3.0,taste_of_home,Frozen Banana Cereal Pops,https://www.tasteofhome.com/recipes/frozen-banana-cereal-pops/,,,
295.0,26.0,Desserts,21.0,"{'@type': 'NutritionInformation', 'calories': ' 295 calories', 'fatContent': '21g fat (13g saturated fat)', 'cholesterolContent': '109mg cholesterol', 'sodiumContent': '74mg sodium', 'carbohydrateContent': '26g carbohydrate (25g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '3g protein. '}",3.0,5.0,2.0,taste_of_home,Dad's Peach Ice Cream,https://www.tasteofhome.com/recipes/dad-s-peach-ice-cream/,,,
160.0,26.0,Desserts,6.0,"{'@type': 'NutritionInformation', 'calories': ' 160 calories', 'fatContent': '6g fat (4g saturated fat)', 'cholesterolContent': '18mg cholesterol', 'sodiumContent': '124mg sodium', 'carbohydrateContent': '26g carbohydrate (25g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein. '}",2.0,5.0,9.0,taste_of_home,Strawberry Gelato,https://www.tasteofhome.com/recipes/strawberry-gelato/,,,
127.0,12.0,Desserts,8.0,"{'@type': 'NutritionInformation', 'calories': ' 127 calories', 'fatContent': '8g fat (4g saturated fat)', 'cholesterolContent': '16mg cholesterol', 'sodiumContent': '69mg sodium', 'carbohydrateContent': '12g carbohydrate (8g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein.'}",1.0,4.5882354,34.0,taste_of_home,White Chocolate Macadamia Nut Cookies,https://www.tasteofhome.com/recipes/white-chocolate-macadamia-cookies/,,,
87.0,11.0,Desserts,5.0,"{'@type': 'NutritionInformation', 'calories': ' 87 calories', 'fatContent': '5g fat (2g saturated fat)', 'cholesterolContent': '11mg cholesterol', 'sodiumContent': '84mg sodium', 'carbohydrateContent': '11g carbohydrate (7g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein.'}",1.0,4.7777777,108.0,taste_of_home,Chocolate Chip Oatmeal Cookies,https://www.tasteofhome.com/recipes/chocolate-chip-oatmeal-cookies/,,,
254.0,27.0,Desserts,15.0,"{'@type': 'NutritionInformation', 'calories': ' 254 calories', 'fatContent': '15g fat (9g saturated fat)', 'cholesterolContent': '114mg cholesterol', 'sodiumContent': '125mg sodium', 'carbohydrateContent': '27g carbohydrate (16g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '4g protein.'}",4.0,5.0,3.0,taste_of_home,Tart & Tangy Lemon Tart,https://www.tasteofhome.com/recipes/tart-tangy-lemon-tart/,,,
104.0,12.0,Desserts,6.0,"{'@type': 'NutritionInformation', 'calories': ' 104 calories', 'fatContent': '6g fat (3g saturated fat)', 'cholesterolContent': '12mg cholesterol', 'sodiumContent': '90mg sodium', 'carbohydrateContent': '12g carbohydrate (8g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein.'}",2.0,4.878788,33.0,taste_of_home,Oat-Rageous Chocolate Chip Cookies,https://www.tasteofhome.com/recipes/oat-rageous-chocolate-chip-cookies/,,,
160.0,22.0,Desserts,9.0,"{'@type': 'NutritionInformation', 'calories': ' 160 calories', 'fatContent': '9g fat (5g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '84mg sodium', 'carbohydrateContent': '22g carbohydrate (15g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein. '}",1.0,4.9166665,12.0,taste_of_home,Chocolate Butterscotch Haystacks,https://www.tasteofhome.com/recipes/chocolate-butterscotch-haystacks/,,,
311.0,45.0,Desserts,13.0,"{'@type': 'NutritionInformation', 'calories': ' 311 calories', 'fatContent': '13g fat (7g saturated fat)', 'cholesterolContent': '96mg cholesterol', 'sodiumContent': '163mg sodium', 'carbohydrateContent': '45g carbohydrate (30g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,4.6397057,136.0,taste_of_home,Sour Cream Pound Cake,https://www.tasteofhome.com/recipes/sour-cream-pound-cake/,,,
29.0,4.0,Desserts,1.0,"{'@type': 'NutritionInformation', 'calories': ' 29 calories', 'fatContent': '1g fat (1g saturated fat)', 'cholesterolContent': '6mg cholesterol', 'sodiumContent': '16mg sodium', 'carbohydrateContent': '4g carbohydrate (2g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '0 protein. '}",0.0,5.0,1.0,taste_of_home,Lavender and Lemon Biscochitos,https://www.tasteofhome.com/recipes/lavender-and-lemon-biscochitos/,,,
291.0,31.0,Desserts,17.0,"{'@type': 'NutritionInformation', 'calories': ' 291 calories', 'fatContent': '17g fat (9g saturated fat)', 'cholesterolContent': '5mg cholesterol', 'sodiumContent': '82mg sodium', 'carbohydrateContent': '31g carbohydrate (15g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '5g protein. '}",5.0,5.0,9.0,taste_of_home,Candy Pizza Heart,https://www.tasteofhome.com/recipes/candy-pizza-heart/,,,
396.0,27.0,Desserts,29.0,"{'@type': 'NutritionInformation', 'calories': ' 396 calories', 'fatContent': '29g fat (18g saturated fat)', 'cholesterolContent': '150mg cholesterol', 'sodiumContent': '286mg sodium', 'carbohydrateContent': '27g carbohydrate (19g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '7g protein. '}",7.0,4.8653846,52.0,taste_of_home,Lemon Dream Cheesecake,https://www.tasteofhome.com/recipes/lemon-dream-cheesecake/,,,
589.0,55.0,Desserts,38.0,"{'@type': 'NutritionInformation', 'calories': ' 589 calories', 'fatContent': '38g fat (23g saturated fat)', 'cholesterolContent': '159mg cholesterol', 'sodiumContent': '434mg sodium', 'carbohydrateContent': '55g carbohydrate (44g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '8g protein. '}",8.0,5.0,3.0,taste_of_home,Coconut Cheesecake & Rhubarb Compote,https://www.tasteofhome.com/recipes/coconut-cheesecake-rhubarb-compote/,,,
55.0,6.0,Desserts,3.0,"{'@type': 'NutritionInformation', 'calories': ' 55 calories', 'fatContent': '3g fat (2g saturated fat)', 'cholesterolContent': '9mg cholesterol', 'sodiumContent': '26mg sodium', 'carbohydrateContent': '6g carbohydrate (1g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,1.0,taste_of_home,Easy Scottish Shortbread,https://www.tasteofhome.com/recipes/easy-scottish-shortbread/,,,
171.0,18.0,Desserts,12.0,"{'@type': 'NutritionInformation', 'calories': ' 171 calories', 'fatContent': '12g fat (7g saturated fat)', 'cholesterolContent': '21mg cholesterol', 'sodiumContent': '119mg sodium', 'carbohydrateContent': '18g carbohydrate (11g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein. '}",1.0,4.7027025,74.0,taste_of_home,Saltine Toffee Bark,https://www.tasteofhome.com/recipes/saltine-toffee-bark/,,,
279.0,37.0,Desserts,14.0,"{'@type': 'NutritionInformation', 'calories': ' 279 calories', 'fatContent': '14g fat (2g saturated fat)', 'cholesterolContent': '35mg cholesterol', 'sodiumContent': '152mg sodium', 'carbohydrateContent': '37g carbohydrate (25g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,5.0,3.0,taste_of_home,Olive Oil Cake,https://www.tasteofhome.com/recipes/olive-oil-cake/,,,
150.0,18.0,Desserts,8.0,"{'@type': 'NutritionInformation', 'calories': ' 150 calories', 'fatContent': '8g fat (5g saturated fat)', 'cholesterolContent': '20mg cholesterol', 'sodiumContent': '64mg sodium', 'carbohydrateContent': '18g carbohydrate (8g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '2g protein. '}",2.0,5.0,4.0,taste_of_home,Almond Raspberry Stars,https://www.tasteofhome.com/recipes/almond-raspberry-stars/,,,
97.0,12.0,Desserts,5.0,"{'@type': 'NutritionInformation', 'calories': ' 97 calories', 'fatContent': '5g fat (3g saturated fat)', 'cholesterolContent': '18mg cholesterol', 'sodiumContent': '35mg sodium', 'carbohydrateContent': '12g carbohydrate (6g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,2.0,taste_of_home,Unicorn Manes,https://www.tasteofhome.com/recipes/unicorn-manes/,,,
70.0,9.0,Desserts,3.0,"{'@type': 'NutritionInformation', 'calories': ' 70 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '1mg cholesterol', 'sodiumContent': '46mg sodium', 'carbohydrateContent': '9g carbohydrate (6g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '3g protein.  <B><b>Diabetic Exchanges</b>: </B>1/2 starch'}",3.0,4.6666665,33.0,taste_of_home,No-Bake Peanut Butter Treats,https://www.tasteofhome.com/recipes/no-bake-peanut-butter-treats/,,,
79.0,11.0,Desserts,4.0,"{'@type': 'NutritionInformation', 'calories': ' 79 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '5mg cholesterol', 'sodiumContent': '16mg sodium', 'carbohydrateContent': '11g carbohydrate (10g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,4.7619047,42.0,taste_of_home,Three-Chocolate Fudge,https://www.tasteofhome.com/recipes/three-chocolate-fudge/,,,
541.0,61.0,Desserts,32.0,"{'@type': 'NutritionInformation', 'calories': ' 541 calories', 'fatContent': '32g fat (12g saturated fat)', 'cholesterolContent': '82mg cholesterol', 'sodiumContent': '459mg sodium', 'carbohydrateContent': '61g carbohydrate (36g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '6g protein. '}",6.0,4.793103,29.0,taste_of_home,Chocolate Comfort Cake,https://www.tasteofhome.com/recipes/chocolate-comfort-cake/,,,
680.0,73.0,Desserts,38.0,"{'@type': 'NutritionInformation', 'calories': ' 680 calories', 'fatContent': '38g fat (15g saturated fat)', 'cholesterolContent': '28mg cholesterol', 'sodiumContent': '547mg sodium', 'carbohydrateContent': '73g carbohydrate (54g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '13g protein. '}",13.0,4.87931,116.0,taste_of_home,Peanut Butter Brownie Trifle,https://www.tasteofhome.com/recipes/peanut-butter-brownie-trifle/,,,
170.0,19.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': ' 170 calories', 'fatContent': '10g fat (6g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '89mg sodium', 'carbohydrateContent': '19g carbohydrate (14g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein.'}",2.0,4.5471697,53.0,taste_of_home,Yummy Cracker Snacks,https://www.tasteofhome.com/recipes/yummy-cracker-snacks/,,,
114.0,13.0,Desserts,7.0,"{'@type': 'NutritionInformation', 'calories': ' 114 calories', 'fatContent': '7g fat (2g saturated fat)', 'cholesterolContent': '8mg cholesterol', 'sodiumContent': '75mg sodium', 'carbohydrateContent': '13g carbohydrate (6g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,2.0,taste_of_home,Cream Cheese Turtle Cups,https://www.tasteofhome.com/recipes/cream-cheese-turtle-cups/,,,
91.0,14.0,Desserts,3.0,"{'@type': 'NutritionInformation', 'calories': ' 91 calories', 'fatContent': '3g fat (2g saturated fat)', 'cholesterolContent': '14mg cholesterol', 'sodiumContent': '43mg sodium', 'carbohydrateContent': '14g carbohydrate (9g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,10.0,taste_of_home,Chocolate Cutout Cookies,https://www.tasteofhome.com/recipes/chocolate-cutout-cookies/,,,
476.0,51.0,Desserts,27.0,"{'@type': 'NutritionInformation', 'calories': ' 476 calories', 'fatContent': '27g fat (6g saturated fat)', 'cholesterolContent': '54mg cholesterol', 'sodiumContent': '534mg sodium', 'carbohydrateContent': '51g carbohydrate (31g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '5g protein. '}",5.0,4.9,20.0,taste_of_home,Pistachio Cake with Walnuts,https://www.tasteofhome.com/recipes/pistachio-cake-with-walnuts/,,,
350.0,54.0,Desserts,13.0,"{'@type': 'NutritionInformation', 'calories': ' 350 calories', 'fatContent': '13g fat (8g saturated fat)', 'cholesterolContent': '78mg cholesterol', 'sodiumContent': '251mg sodium', 'carbohydrateContent': '54g carbohydrate (36g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '5g protein.'}",5.0,4.5,36.0,taste_of_home,Glazed Lemon Tube Cake,https://www.tasteofhome.com/recipes/glazed-lemon-tube-cake/,,,
118.0,9.0,Desserts,9.0,"{'@type': 'NutritionInformation', 'calories': ' 118 calories', 'fatContent': '9g fat (4g saturated fat)', 'cholesterolContent': '16mg cholesterol', 'sodiumContent': '49mg sodium', 'carbohydrateContent': '9g carbohydrate (2g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein.'}",1.0,4.1555557,45.0,taste_of_home,Pecan Sandies,https://www.tasteofhome.com/recipes/pecan-sandies-cookies/,,,
110.0,13.0,Desserts,6.0,"{'@type': 'NutritionInformation', 'calories': ' 110 calories', 'fatContent': '6g fat (4g saturated fat)', 'cholesterolContent': '5mg cholesterol', 'sodiumContent': '45mg sodium', 'carbohydrateContent': '13g carbohydrate (9g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,1.0,taste_of_home,Banana Cream Chocolate Truffles,https://www.tasteofhome.com/recipes/banana-cream-chocolate-truffles/,,,
62.0,7.0,Desserts,4.0,"{'@type': 'NutritionInformation', 'calories': ' 62 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '10mg cholesterol', 'sodiumContent': '44mg sodium', 'carbohydrateContent': '7g carbohydrate (4g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,3.0,taste_of_home,Double Delights,https://www.tasteofhome.com/recipes/double-delights/,,,
463.0,56.0,Desserts,26.0,"{'@type': 'NutritionInformation', 'calories': ' 463 calories', 'fatContent': '26g fat (9g saturated fat)', 'cholesterolContent': '56mg cholesterol', 'sodiumContent': '375mg sodium', 'carbohydrateContent': '56g carbohydrate (39g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '5g protein. '}",5.0,5.0,2.0,taste_of_home,Double Chocolate Bundt Cakes,https://www.tasteofhome.com/recipes/double-chocolate-bundt-cakes/,,,
236.0,33.0,Desserts,11.0,"{'@type': 'NutritionInformation', 'calories': ' 236 calories', 'fatContent': '11g fat (7g saturated fat)', 'cholesterolContent': '33mg cholesterol', 'sodiumContent': '91mg sodium', 'carbohydrateContent': '33g carbohydrate (23g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '2g protein.'}",2.0,5.0,1.0,taste_of_home,Hanukkah Cookies,https://www.tasteofhome.com/recipes/hanukkah-cookies/,,,
214.0,29.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': ' 214 calories', 'fatContent': '10g fat (6g saturated fat)', 'cholesterolContent': '36mg cholesterol', 'sodiumContent': '182mg sodium', 'carbohydrateContent': '29g carbohydrate (18g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '2g protein. '}",2.0,4.769231,13.0,taste_of_home,Vanilla Butter Rollouts,https://www.tasteofhome.com/recipes/vanilla-butter-rollouts/,,,
413.0,64.0,Desserts,17.0,"{'@type': 'NutritionInformation', 'calories': ' 413 calories', 'fatContent': '17g fat (5g saturated fat)', 'cholesterolContent': '15mg cholesterol', 'sodiumContent': '385mg sodium', 'carbohydrateContent': '64g carbohydrate (41g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,4.255814,43.0,taste_of_home,Homemade Chocolate Cake,https://www.tasteofhome.com/recipes/homemade-chocolate-cake/,,,
80.0,10.0,Desserts,4.0,"{'@type': 'NutritionInformation', 'calories': ' 80 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '14mg cholesterol', 'sodiumContent': '74mg sodium', 'carbohydrateContent': '10g carbohydrate (6g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,4.571429,35.0,taste_of_home,Vanilla-Butter Sugar Cookies,https://www.tasteofhome.com/recipes/vanilla-butter-sugar-cookies/,,,
369.0,55.0,Desserts,15.0,"{'@type': 'NutritionInformation', 'calories': ' 369 calories', 'fatContent': '15g fat (3g saturated fat)', 'cholesterolContent': '71mg cholesterol', 'sodiumContent': '406mg sodium', 'carbohydrateContent': '55g carbohydrate (38g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,5.0,4.0,taste_of_home,Fluted Lemon Cake,https://www.tasteofhome.com/recipes/fluted-lemon-cake/,,,
251.0,33.0,"Breakfast,Brunch",12.0,"{'@type': 'NutritionInformation', 'calories': ' 251 calories', 'fatContent': '12g fat (4g saturated fat)', 'cholesterolContent': '36mg cholesterol', 'sodiumContent': '188mg sodium', 'carbohydrateContent': '33g carbohydrate (22g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '3g protein. '}",3.0,4.76,25.0,taste_of_home,Apple Coffee Cake,https://www.tasteofhome.com/recipes/apple-coffee-cake/,,,
299.0,42.0,"Breakfast,Brunch,Desserts",13.0,"{'@type': 'NutritionInformation', 'calories': ' 299 calories', 'fatContent': '13g fat (8g saturated fat)', 'cholesterolContent': '54mg cholesterol', 'sodiumContent': '307mg sodium', 'carbohydrateContent': '42g carbohydrate (23g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '4g protein. '}",4.0,5.0,6.0,taste_of_home,Raspberry Crumble Coffee Cake,https://www.tasteofhome.com/recipes/raspberry-crumble-coffee-cake/,,,
